2021-10-17 14:23:23,385 INFO    MainThread:82011 [wandb_setup.py:_flush():69] setting env: {}
2021-10-17 14:23:23,386 INFO    MainThread:82011 [wandb_setup.py:_flush():69] setting login settings: {}
2021-10-17 14:23:23,386 INFO    MainThread:82011 [wandb_init.py:_log_setup():334] Logging user logs to /Users/sliu/src/mysrc/mlops/u_mlops_course_excercises/lesson-1-machine-learning-pipelines/exercises/exercise_2/solution/wandb/run-20211017_142323-3vdphc7l/logs/debug.log
2021-10-17 14:23:23,386 INFO    MainThread:82011 [wandb_init.py:_log_setup():335] Logging internal logs to /Users/sliu/src/mysrc/mlops/u_mlops_course_excercises/lesson-1-machine-learning-pipelines/exercises/exercise_2/solution/wandb/run-20211017_142323-3vdphc7l/logs/debug-internal.log
2021-10-17 14:23:23,386 INFO    MainThread:82011 [wandb_init.py:init():367] calling init triggers
2021-10-17 14:23:23,386 INFO    MainThread:82011 [wandb_init.py:init():372] wandb.init called with sweep_config: {}
config: {}
2021-10-17 14:23:23,386 INFO    MainThread:82011 [wandb_init.py:init():416] starting backend
2021-10-17 14:23:23,386 INFO    MainThread:82011 [backend.py:_multiprocessing_setup():69] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2021-10-17 14:23:23,400 INFO    MainThread:82011 [backend.py:ensure_launched():123] starting backend process...
2021-10-17 14:23:23,406 INFO    MainThread:82011 [backend.py:ensure_launched():127] started backend process with pid: 82019
2021-10-17 14:23:23,408 INFO    MainThread:82011 [wandb_init.py:init():421] backend started and connected
2021-10-17 14:23:23,409 INFO    MainThread:82011 [wandb_init.py:init():461] updated telemetry
2021-10-17 14:23:23,410 INFO    MainThread:82011 [wandb_init.py:init():480] communicating current version
2021-10-17 14:23:23,887 INFO    MainThread:82011 [wandb_init.py:init():485] got version response upgrade_message: "wandb version 0.12.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2021-10-17 14:23:23,887 INFO    MainThread:82011 [wandb_init.py:init():493] communicating run to backend with 30 second timeout
2021-10-17 14:23:24,048 INFO    MainThread:82011 [wandb_init.py:init():518] starting run threads in backend
2021-10-17 14:23:24,089 INFO    MainThread:82011 [wandb_run.py:_console_start():1476] atexit reg
2021-10-17 14:23:24,089 INFO    MainThread:82011 [wandb_run.py:_redirect():1339] redirect: SettingsConsole.REDIRECT
2021-10-17 14:23:24,090 INFO    MainThread:82011 [wandb_run.py:_redirect():1344] Redirecting console.
2021-10-17 14:23:24,090 INFO    MainThread:82011 [redirect.py:install():213] install start
2021-10-17 14:23:24,090 INFO    MainThread:82011 [redirect.py:install():228] install stop
2021-10-17 14:23:24,090 INFO    MainThread:82011 [redirect.py:install():213] install start
2021-10-17 14:23:24,090 INFO    MainThread:82011 [redirect.py:install():228] install stop
2021-10-17 14:23:24,090 INFO    MainThread:82011 [wandb_run.py:_redirect():1390] Redirects installed.
2021-10-17 14:23:24,090 INFO    MainThread:82011 [wandb_init.py:init():542] run started, returning control to user process
2021-10-17 14:23:24,931 INFO    MainThread:82011 [wandb_run.py:finish():1135] finishing run sliu/exercise_2/3vdphc7l
