2021-10-17 14:39:32,920 INFO    MainThread:83026 [wandb_setup.py:_flush():69] setting env: {'project': 'exercise_3', 'run_group': 'dev'}
2021-10-17 14:39:32,921 INFO    MainThread:83026 [wandb_setup.py:_flush():69] setting login settings: {}
2021-10-17 14:39:32,921 INFO    MainThread:83026 [wandb_init.py:_log_setup():334] Logging user logs to /Users/sliu/src/mysrc/mlops/u_mlops_course_excercises/lesson-1-machine-learning-pipelines/exercises/exercise_3/starter/download_data/wandb/run-20211017_143932-325ahb53/logs/debug.log
2021-10-17 14:39:32,921 INFO    MainThread:83026 [wandb_init.py:_log_setup():335] Logging internal logs to /Users/sliu/src/mysrc/mlops/u_mlops_course_excercises/lesson-1-machine-learning-pipelines/exercises/exercise_3/starter/download_data/wandb/run-20211017_143932-325ahb53/logs/debug-internal.log
2021-10-17 14:39:32,921 INFO    MainThread:83026 [wandb_init.py:init():367] calling init triggers
2021-10-17 14:39:32,921 INFO    MainThread:83026 [wandb_init.py:init():372] wandb.init called with sweep_config: {}
config: {}
2021-10-17 14:39:32,921 INFO    MainThread:83026 [wandb_init.py:init():416] starting backend
2021-10-17 14:39:32,921 INFO    MainThread:83026 [backend.py:_multiprocessing_setup():69] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2021-10-17 14:39:32,933 INFO    MainThread:83026 [backend.py:ensure_launched():123] starting backend process...
2021-10-17 14:39:32,939 INFO    MainThread:83026 [backend.py:ensure_launched():127] started backend process with pid: 83050
2021-10-17 14:39:32,941 INFO    MainThread:83026 [wandb_init.py:init():421] backend started and connected
2021-10-17 14:39:32,943 INFO    MainThread:83026 [wandb_init.py:init():461] updated telemetry
2021-10-17 14:39:32,944 INFO    MainThread:83026 [wandb_init.py:init():480] communicating current version
2021-10-17 14:39:33,507 INFO    MainThread:83026 [wandb_init.py:init():485] got version response upgrade_message: "wandb version 0.12.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2021-10-17 14:39:33,507 INFO    MainThread:83026 [wandb_init.py:init():493] communicating run to backend with 30 second timeout
2021-10-17 14:39:33,695 INFO    MainThread:83026 [wandb_init.py:init():518] starting run threads in backend
2021-10-17 14:39:33,742 INFO    MainThread:83026 [wandb_run.py:_console_start():1476] atexit reg
2021-10-17 14:39:33,742 INFO    MainThread:83026 [wandb_run.py:_redirect():1339] redirect: SettingsConsole.REDIRECT
2021-10-17 14:39:33,742 INFO    MainThread:83026 [wandb_run.py:_redirect():1344] Redirecting console.
2021-10-17 14:39:33,742 INFO    MainThread:83026 [redirect.py:install():213] install start
2021-10-17 14:39:33,743 INFO    MainThread:83026 [redirect.py:install():228] install stop
2021-10-17 14:39:33,743 INFO    MainThread:83026 [redirect.py:install():213] install start
2021-10-17 14:39:33,743 INFO    MainThread:83026 [redirect.py:install():228] install stop
2021-10-17 14:39:33,743 INFO    MainThread:83026 [wandb_run.py:_redirect():1390] Redirects installed.
2021-10-17 14:39:33,743 INFO    MainThread:83026 [wandb_init.py:init():542] run started, returning control to user process
2021-10-17 14:39:34,189 INFO    MainThread:83026 [wandb_run.py:finish():1135] finishing run sliu/exercise_3/325ahb53
